Date,Open,High,Low,Close,Adj Close,Volume
20-Feb-13,"3,211.99","3,213.25","3,163.95","3,164.41","3,164.41","2,001,800,000"
19-Feb-13,"3,197.46","3,213.60","3,194.92","3,213.59","3,213.59","1,843,840,000"
15-Feb-13,"3,202.84","3,206.21","3,184.03","3,192.03","3,192.03","1,858,670,000"
14-Feb-13,"3,182.74","3,202.33","3,182.39","3,198.66","3,198.66","1,924,900,000"
13-Feb-13,"3,195.34","3,205.52","3,187.06","3,196.88","3,196.88","1,822,450,000"
12-Feb-13,"3,190.73","3,196.92","3,184.84","3,186.49","3,186.49","1,786,800,000"
11-Feb-13,"3,192.53","3,194.01","3,182.19","3,192.00","3,192.00","1,551,370,000"
8-Feb-13,"3,178.06","3,196.89","3,177.18","3,193.87","3,193.87","1,816,480,000"
7-Feb-13,"3,167.44","3,170.42","3,135.98","3,165.13","3,165.13","1,955,960,000"
6-Feb-13,"3,159.38","3,174.82","3,157.35","3,168.48","3,168.48","2,002,740,000"
5-Feb-13,"3,140.90","3,178.52","3,136.82","3,171.58","3,171.58","2,150,080,000"
4-Feb-13,"3,161.72","3,169.63","3,130.57","3,131.17","3,131.17","1,874,750,000"
1-Feb-13,"3,162.94","3,183.14","3,154.91","3,179.10","3,179.10","2,012,930,000"
31-Jan-13,"3,140.67","3,154.18","3,136.82","3,142.13","3,142.13","2,190,840,000"
30-Jan-13,"3,157.43","3,164.06","3,135.83","3,142.31","3,142.31","2,014,350,000"
29-Jan-13,"3,149.62","3,156.94","3,133.11","3,153.66","3,153.66","2,050,670,000"
28-Jan-13,"3,152.17","3,161.83","3,144.89","3,154.30","3,154.30","1,935,590,000"
25-Jan-13,"3,140.65","3,156.20","3,135.86","3,149.71","3,149.71","1,920,250,000"
24-Jan-13,"3,125.67","3,153.56","3,124.45","3,130.38","3,130.38","2,046,990,000"
23-Jan-13,"3,155.82","3,161.06","3,149.74","3,153.67","3,153.67","1,698,190,000"
22-Jan-13,"3,135.63","3,143.18","3,121.54","3,143.18","3,143.18","1,790,730,000"
18-Jan-13,"3,127.91","3,134.73","3,119.20","3,134.71","3,134.71","1,860,070,000"
17-Jan-13,"3,130.49","3,144.05","3,125.79","3,136.00","3,136.00","1,766,510,000"
16-Jan-13,"3,110.72","3,124.65","3,106.79","3,117.54","3,117.54","1,692,380,000"
15-Jan-13,"3,101.06","3,112.29","3,093.32","3,110.78","3,110.78","1,852,870,000"
14-Jan-13,"3,113.65","3,123.48","3,104.08","3,117.50","3,117.50","1,876,050,000"
11-Jan-13,"3,122.12","3,126.59","3,114.10","3,125.63","3,125.63","1,772,600,000"
10-Jan-13,"3,125.64","3,127.72","3,098.47","3,121.76","3,121.76","1,754,240,000"
9-Jan-13,"3,099.65","3,111.22","3,096.34","3,105.81","3,105.81","1,732,510,000"
8-Jan-13,"3,098.46","3,103.39","3,076.60","3,091.81","3,091.81","1,744,380,000"
7-Jan-13,"3,089.17","3,102.35","3,083.88","3,098.81","3,098.81","1,702,540,000"
4-Jan-13,"3,100.88","3,108.44","3,090.81","3,101.66","3,101.66","1,745,140,000"
3-Jan-13,"3,108.49","3,118.18","3,092.28","3,100.57","3,100.57","1,769,420,000"
2-Jan-13,"3,091.33","3,112.65","3,083.49","3,112.26","3,112.26","2,111,300,000"
31-Dec-12,"2,955.45","3,021.41","2,953.52","3,019.51","3,019.51","1,557,230,000"
28-Dec-12,"2,965.12","2,985.47","2,959.37","2,960.31","2,960.31","1,143,530,000"
27-Dec-12,"2,989.87","2,993.66","2,951.04","2,985.91","2,985.91","1,342,790,000"
26-Dec-12,"3,013.13","3,018.65","2,983.35","2,990.16","2,990.16","1,059,190,000"
24-Dec-12,"3,013.89","3,016.18","3,008.53","3,012.60","3,012.60","614,230,000"
21-Dec-12,"2,998.60","3,022.19","2,995.13","3,021.01","3,021.01","2,843,090,000"
20-Dec-12,"3,050.30","3,053.53","3,034.15","3,050.39","3,050.39","1,691,190,000"
19-Dec-12,"3,059.03","3,061.82","3,044.36","3,044.36","3,044.36","1,933,270,000"
18-Dec-12,"3,020.82","3,056.65","3,016.40","3,054.53","3,054.53","2,022,130,000"
17-Dec-12,"2,975.50","3,011.22","2,973.54","3,010.60","3,010.60","1,911,420,000"
14-Dec-12,"2,976.95","2,985.33","2,963.80","2,971.33","2,971.33","1,786,980,000"
13-Dec-12,"3,007.83","3,026.51","2,982.63","2,992.16","2,992.16","1,833,990,000"
12-Dec-12,"3,033.93","3,035.19","3,008.49","3,013.81","3,013.81","1,756,220,000"
11-Dec-12,"3,005.43","3,033.14","3,003.82","3,022.30","3,022.30","1,921,860,000"
10-Dec-12,"2,973.19","2,997.64","2,971.56","2,986.96","2,986.96","1,528,430,000"
7-Dec-12,"2,999.69","3,003.27","2,968.82","2,978.04","2,978.04","1,613,570,000"
6-Dec-12,"2,967.99","2,996.53","2,962.02","2,989.27","2,989.27","1,713,460,000"
5-Dec-12,"2,993.20","2,994.73","2,958.26","2,973.70","2,973.70","1,800,820,000"
4-Dec-12,"3,000.44","3,002.90","2,980.93","2,996.69","2,996.69","1,781,760,000"
3-Dec-12,"3,029.21","3,030.28","2,999.57","3,002.20","3,002.20","1,667,330,000"
30-Nov-12,"3,013.25","3,014.25","2,999.72","3,010.24","3,010.24","2,194,240,000"
29-Nov-12,"3,005.41","3,017.18","2,996.30","3,012.03","3,012.03","1,758,440,000"
28-Nov-12,"2,952.02","2,992.17","2,935.88","2,991.78","2,991.78","1,725,550,000"
27-Nov-12,"2,974.56","2,985.32","2,965.13","2,967.79","2,967.79","1,763,320,000"
26-Nov-12,"2,961.02","2,976.93","2,951.73","2,976.78","2,976.78","1,641,710,000"
23-Nov-12,"2,943.62","2,967.19","2,940.68","2,966.85","2,966.85","792,750,000"
21-Nov-12,"2,919.14","2,928.17","2,912.42","2,926.55","2,926.55","1,430,060,000"
20-Nov-12,"2,910.73","2,919.96","2,893.38","2,916.68","2,916.68","1,588,750,000"
19-Nov-12,"2,886.00","2,916.07","2,884.75","2,916.07","2,916.07","1,767,240,000"
16-Nov-12,"2,838.90","2,859.57","2,810.80","2,853.13","2,853.13","2,187,730,000"
15-Nov-12,"2,847.84","2,855.64","2,826.75","2,836.94","2,836.94","2,010,300,000"
14-Nov-12,"2,896.81","2,900.10","2,842.86","2,846.81","2,846.81","2,106,590,000"
13-Nov-12,"2,880.77","2,909.00","2,877.06","2,883.89","2,883.89","1,816,260,000"
12-Nov-12,"2,916.38","2,920.01","2,896.55","2,904.25","2,904.25","1,379,240,000"
9-Nov-12,"2,892.57","2,931.11","2,889.81","2,904.87","2,904.87","1,802,580,000"
8-Nov-12,"2,942.09","2,949.70","2,895.58","2,895.58","2,895.58","1,876,420,000"
7-Nov-12,"2,976.46","2,977.81","2,926.79","2,937.29","2,937.29","2,059,690,000"
6-Nov-12,"3,003.71","3,024.44","2,998.93","3,011.93","3,011.93","1,782,430,000"
5-Nov-12,"2,983.03","3,004.87","2,975.85","2,999.66","2,999.66","1,496,210,000"
2-Nov-12,"3,033.85","3,033.85","2,981.69","2,982.13","2,982.13","1,834,590,000"
1-Nov-12,"2,987.54","3,021.94","2,984.22","3,020.06","3,020.06","1,880,140,000"
